Date,EEM,IMAE.AS,SGLD.SW,VOO
2010-08-13,29.80271339416504,,,
2010-08-16,30.081096649169922,,,
2010-08-17,30.396133422851562,,,
2010-08-18,30.374156951904297,,,
2010-08-19,30.139711380004883,,,
2010-08-20,30.05181312561035,,,
2010-08-23,29.780738830566406,,,
2010-08-24,29.39976692199707,,,
2010-08-25,29.20929718017578,,,
2010-08-26,29.02613639831543,,,
2010-08-27,29.663515090942383,,,
2010-08-30,29.172666549682617,,,
2010-08-31,29.348491668701172,,,
2010-09-01,30.381479263305664,,,
2010-09-02,30.432762145996094,,,
2010-09-03,30.791746139526367,,,
2010-09-07,30.344844818115234,,,
2010-09-08,30.674524307250977,,,
2010-09-09,30.8503475189209,,,77.7213134765625
2010-09-10,30.96023178100586,,,78.07422637939453
2010-09-13,31.70018768310547,,,79.05606842041016
